상호명,지점명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,도로명주소,경도,위도,n_상호명,점포수
버거킹,시흥은계점,패스트푸드,패스트푸드,경기도,시흥시,은행동,경기도 시흥시 은계번영길 9,126.80161510313,37.4375040599472,버거킹,1
버거킹,화성봉담점,패스트푸드,패스트푸드,경기도,화성시,봉담읍,경기도 화성시 봉담읍 와우로 80,126.974829090719,37.2135668057988,버거킹,1
버거킹,포천축석휴게소FS점,패스트푸드,패스트푸드,경기도,포천시,소흘읍,경기도 포천시 소흘읍 호국로 66,127.119726030744,37.7813736651581,버거킹,1
버거킹,파주야당역점,패스트푸드,패스트푸드,경기도,파주시,운정3동,경기도 파주시 소리천로8번길 36,126.760145858706,37.7125639974631,버거킹,1
버거킹,부천옥길점,패스트푸드,패스트푸드,경기도,부천시,범안동,경기도 부천시 옥길로 124,126.82361117199801,37.4674054983577,버거킹,1
버거킹,의정부용현DT점,패스트푸드,패스트푸드,경기도,의정부시,송산1동,경기도 의정부시 시민로 462,127.083511398122,37.730820618225,버거킹,1
버거킹,경남대점,패스트푸드,패스트푸드,경상남도,창원시 마산합포구,월영동,경상남도 창원시 마산합포구 해안대로 6,128.55945346764202,35.180234882567504,버거킹,1
BKR버거킹창원용호점,창원용호점,패스트푸드,패스트푸드,경상남도,창원시 의창구,용지동,경상남도 창원시 의창구 원이대로589번길 6,128.67989257340798,35.2285836666616,버거킹,1
버거킹,합성점,패스트푸드,패스트푸드,경상남도,창원시 마산회원구,합성1동,경상남도 창원시 마산회원구 315대로 757,128.583032881618,35.2395814125016,버거킹,1
버거킹,창원용호점,패스트푸드,패스트푸드,경상남도,창원시 의창구,용지동,경상남도 창원시 의창구 원이대로589번길 6,128.67989257340798,35.2285836666616,버거킹,1
버거킹거제고현점,거제고현점,패스트푸드,패스트푸드,경상남도,거제시,고현동,경상남도 거제시 서문로5길 6,128.621070195453,34.8891826070596,버거킹,1
버거킹,김해삼계점,패스트푸드,패스트푸드,경상남도,김해시,북부동,경상남도 김해시 가야로 178,128.871605756059,35.2616893105443,버거킹,1
버거킹김해아이스퀘어몰점,김해아이스퀘어몰점,패스트푸드,패스트푸드,경상남도,김해시,부원동,경상남도 김해시 김해대로 2326,128.88400942677902,35.2248674575455,버거킹,1
버거킹경남사천점,경남사천점,패스트푸드,패스트푸드,경상남도,사천시,사천읍,경상남도 사천시 사천읍 옥산로 30,128.086058165889,35.079659638447104,버거킹,1
버거킹,수월점,패스트푸드,패스트푸드,경상남도,거제시,수양동,경상남도 거제시 수양로 471,128.639567893689,34.891682920669,버거킹,1
